ID,Question
35,"47 歳の男性。左第 1 中足趾節関節の激痛を主訴に来院した。
 
 現病歴 ： 昨日の夜から左足の母趾付近に違和感があり、今朝起床時には同部位が激しく痛んで歩けなくなった。1 年ほど前から同様の発作を数回繰り返している。
 
 既往歴 ： 特記事項なし。
 
 生活歴 ： 身長 165 cm、体重 78 kg。喫煙歴なし。飲酒はビール 350 mL/日。
 
 家族歴 ： 特記事項なし。
 
 現 症 ： 体温 37.5 ℃。脈拍 88/分、整。呼吸数 16/分。血圧 150/90 mmHg。左足母趾基部は腫脹と発赤が著明で、軽く触れるだけで激痛を訴える。熱感も認める。
 
 検査所見 ： 尿所見：蛋白（－）、糖（－）、潜血（－）。血液所見：白血球 11,000、CRP 8.0 mg/dL。血液生化学所見：尿酸 8.2 mg/dL（基準 3.6～7.0）。関節穿刺液の Gram 染色で菌体を認めず、針状結晶の貪食像を確認。
 
 診断はどれか。
 ａ 痛 風
 ｂ 偽痛風
 ｃ 脊椎関節炎
 ｄ 関節リウマチ
 ｅ 変形性関節症"
36,"48 歳の女性。いびきを主訴に来院した。1 年ほど前から睡眠中のいびきが大きくなり、時々呼吸が止まると夫に指摘されている。朝起床時の強い倦怠感を訴え、日中の眠気も顕著である。身長 157 cm、体重 80 kg、血圧 150/100 mmHg。咽頭の視診で歯槽弓のみがかろうじて確認できる。
 
 診断に最も有用な検査はどれか。
 
 - a 肺機能検査
 - b 内視鏡的逆流検査
 - c 頭部 CT 撮影
 - d スパイロメトリー
 - e ポリソムノグラフィー"
37,50歳の男性。夕食後に突然胸痛が出現し、救急車で搬入された。4 歳時に発熱と発疹で入院したが、詳細は不明。5 年前から毎年健康診断を受けているが、特に異常を指摘されたことはない。喫煙歴と飲酒歴はない。意識は清明。身長 170 cm、体重 60 kg。体温 36.5 ℃。心拍数 100/分、整。血圧 140/90 mmHg。呼吸数 22/分。SpO2 96%（room air）。心音に異常を認めず、胸部聴診で呼吸音に異常はない。腹部は平坦、軟で、肝・脾を触知しない。免疫血清学所見：心筋トロポニンT迅速検査陽性。12誘導心電図では下壁誘導にST低下を認める。右冠動脈造影像では右冠動脈に瘤状変化を認めた。冠動脈病変の原因として最も考えられるのはどれか。\n\na 川崎病\nb Buerger病\nc 高安動脈炎\nd Marfan症候群\ne たこつぼ心筋症
38,"52 歳の女性。倦怠感と体重減少を主訴に来院した。3 か月で体重が 4 kg 減少したという。職業は中学校教諭。夫（58 歳）と 2 人暮らし。夫は自営業を営んでいる。
 
 既往歴：特記すべきことなし。
 家族歴：両親は高血圧症で通院歴あり。兄が膵癌で治療中。
 生活歴：喫煙歴なし。飲酒は機会飲酒。自宅から自家用車で通勤。
 
 現 症：意識清明。身長 160 cm、体重 56 kg。体温 36.8 ℃。脈拍 72/分、整。血圧 120/70 mmHg。呼吸数 16/分。SpO2 98 %（room air）。皮膚・粘膜に蒼白や黄疸は認めない。心音・呼吸音に異常なし。
 
 検査所見：
 血液所見：赤血球 400 万、Hb 12.0 g/dL、Ht 36 %、白血球 6,800、血小板 25 万。
 血液生化学所見：AST 25 U/L、ALT 20 U/L、LD 200 U/L（基準 120～240）、尿素窒素 12 mg/dL、クレアチニン 0.6 mg/dL。CEA 18 ng/mL（基準 5 以下）、CA19-9 42 U/mL（基準 37 以下）。CRP 0.1 mg/dL。
 
 腹部 CT で肝 S4 領域に 2 cm 大の腫瘤を認める。1 週間後に肝生検の予定。本人は悪性疾患が疑われることに大きな不安を抱いており、特に治療費の負担や治療に伴う仕事への影響を心配している。
 
 研修医と指導医の会話を示す。
 研修医：「この患者さんは治療が長引く場合の金銭的負担を心配しています。必要に応じて利用できる制度を知りたいようです。」
 指導医：「社会保障制度や支援制度について専門的に相談できる職種があるから、案内するといいね。」
 
 
 この患者の腹部 CT で見られた所見について、正しいのはどれか。
 
 ａ 腫瘤が良性腫瘍であることが確定している
 ｂ 腫瘤の性状は肝生検を行わないと確定診断できない
 ｃ 血液検査から肝膿瘍が最も疑われる
 ｄ 腫瘤は肝 S6 領域に存在する
 ｅ CEA の正常値から悪性は否定できる"
39,"52 歳の女性。乳がん検診のマンモグラフィで微細な石灰化を指摘され、精査目的で来院した。視触診では右乳房の下外側に径 20 mm の腫瘤が疑われる。エコーガイド下吸引細胞診を行うか検討中であるが、まず検体として確実性が高い方法を考えたい。次に行う検査はどれか。
 
 a 乳房超音波検査
 b MRI ガイド下生検
 c 自己検診
 d ステレオガイド下針生検
 e 骨シンチグラフィ"
40,"52 歳の男性。夕食後に突然の動悸を自覚し、息苦しさも伴ったため家族とともに救急外来を受診した。数か月前から月に数回、突然始まり突然治まるような動悸を感じていたが、今回の発作はいつもよりも強かったため受診したという。既往歴は特にない。家族歴に特記すべき事項はない。
 
 意識は清明。身長 168 cm、体重 65 kg。体温 36.5 ℃。心拍数 140/分、整。血圧 128/84 mmHg。呼吸数 26/分。SpO2 98 %（room air）。頸静脈の怒張は認めず、心音および呼吸音ともに明らかな異常は認めない。12 誘導心電図にて狭義の QRS 頻拍が確認された。息こらえを含む迷走神経刺激で頻脈は改善しなかった。
 
 気管支喘息の既往がないことを再確認し、アデノシン三リン酸（ATP）の急速投与を検討した。患者に一過性の胸部不快感が出る可能性があることを説明し、静脈ラインを確保した。
 
 投与方法として最も適切なのはどれか。
 
 a 舌下投与
 b 静脈内をゆっくり投与
 c 筋肉注射
 d 急速静注
 e 持続静注"
41,"54 歳の女性（2 妊 2 産）。52 歳で閉経。主訴は不正性器出血で、2 か月前から少量の出血に気づき、最近になって増量傾向を認めたため受診した。既往歴と家族歴に特記すべきことはない。身長 158 cm、体重 67 kg。体温 36.3 ℃。脈拍 80/分、整。血圧 138/82 mmHg。内診では子宮はやや腫大し可動性良好、付属器は触知しない。血液所見：赤血球 325 万、Hb 10.1 g/dL、Ht 32%、白血球 6,400、血小板 22 万、PT-INR 1.0（基準 0.9～1.1）。血液生化学所見：総蛋白 7.0 g/dL、アルブミン 3.8 g/dL、総ビリルビン 0.7 mg/dL、AST 20 U/L、ALT 18 U/L、LD 190 U/L（基準 124～222）、CRP 0.9 mg/dL。腫瘍マーカー：CEA 2.8 ng/mL（基準 5 以下）、CA19-9 20 U/mL（基準 37 以下）、CA125 48 U/mL（基準 35 以下）。子宮内膜細胞診で陽性所見を認め、子宮内膜組織診で腺癌が検出された。骨盤部造影 CT では骨盤内リンパ節や骨盤外への明らかな転移所見を認めない。骨盤部 MRI の T2 強調像でも病変は子宮体部に限局している。 
 
 この患者に行う治療はどれか。
 
 ａ 手術療法 
 ｂ 抗菌薬投与 
 ｃ 動注化学療法 
 ｄ 化学放射線療法 
 ｅ 密封小線源治療"
42,"55 歳の女性（1 妊 1 産）。左乳房のしこりとかゆみを主訴に受診した。6 か月前に小さなしこりに気づいていたが、最近になって皮膚のかゆみと軽い痛みを伴うようになったため受診した。乳癌の家族歴はない。身長 158 cm、体重 55 kg。体温 36.5 ℃。脈拍 70/分、整。血圧 120/80 mmHg。左乳房に径 2 cm の腫瘤を触知し、皮膚に若干の陥凹を認める。マンモグラフィでは微細石灰化とスピキュラを伴う高濃度腫瘤陰影が認められた。診断として最も考えられるのはどれか。
 
 ａ 乳癌
 ｂ 乳腺症
 ｃ 乳腺線維腺腫
 ｄ 乳腺膿瘍
 ｅ 葉状腫瘍"
43,"55歳の男性。頭痛と発熱を主訴に家族に付き添われて救急外来を受診した。1週間前から頭痛が持続し、昨日から38℃台の発熱がみられた。先ほど初めて全身けいれんを起こし、救急搬送となった。意識レベルはJCSⅠ-3。体温38.5℃、心拍数110/分(整)、血圧150/90mmHg、呼吸数20/分、SpO2 97%(室内気)。瞳孔径は両側3mmで対光反射は正常。全身けいれんは数分間で消失したが、その後に左上肢の軽度の運動麻痺を認める。頭部単純CTでは右前頭葉に円形の低吸収域と周囲の浮腫がみられ、頭部造影MRI (T1強調像)では同部位にリング状の造影効果を示す病変が認められた。考えられるのはどれか。 
 a 転移性脳腫瘍 
 b 髄膜腫 
 c 硬膜下膿瘍 
 d 脳膿瘍 
 e 神経鞘腫"
44,"57 歳の男性。2 年前から左手の筋力低下に気づいていたが放置していた。1 年前から階段を上る際に足がもつれるようになり、最近は食事中にむせることが増えたため来院した。意識は清明。身長 170 cm、体重 60 kg。体温 36.4 ℃。脈拍 76/分、整。血圧 130/78 mmHg。眼球運動は正常。構音障害があり、舌の萎縮と線維束性収縮を認める。四肢近位筋の筋力低下と筋萎縮があり、腱反射は上下肢ともに亢進している。Babinski 徴候は両側とも陽性。感覚障害は認めない。この患者に起こる可能性が高いのはどれか。 
 ａ 褥瘡 
 ｂ 排尿障害 
 ｃ 複視 
 ｄ 起立性低血圧 
 ｅ 呼吸不全"
45,"58 歳の女性。3 週間前から 38 ℃台の発熱と乾性咳嗽が続くため来院した。5 年前までは会社員として働いていたが、5 年前からは趣味で自宅の温室を利用して植物の栽培を始めている。自宅は築 25 年の一軒家で、最近換気が悪いと感じることが多い。既往歴に特記すべきことはない。喫煙歴はない。
 来院時、意識は清明。身長 160 cm、体重 56 kg。体温 37.5 ℃。脈拍 90/分、整。血圧 126/80 mmHg。呼吸数 18/分。SpO2 95 %（room air）。聴診上、肺底部に軽度の捻髪音を聴取する。
 血液所見：赤血球 410 万、Hb 12.5 g/dL、白血球 4,600、血小板 22 万。血液生化学所見：KL-6 1,100 U/mL（基準 500 未満）。免疫血清学所見：CRP 2.8 mg/dL、抗核抗体陰性。胸部エックス線写真では両側肺野に粒状陰影と淡い浸潤影がみられる。胸部 CT で粒状影とすりガラス様陰影を認めた。
 発熱と乾性咳嗽は入院後、特別な治療を開始しないまま 1 週間ほどで軽快した。入院 3 日目の夜からは発熱は消失した。SpO2 は入院 7 日目に室内気で 97 % となり、帰宅試験を行ったが、症状の再燃は認められなかった。
 この疾患で特徴的な所見はどれか。
 ａ 喀痰：グラム染色でグラム陰性桿菌の多数検出
 ｂ 生化学検査：血清 IgE 高値
 ｃ 呼吸機能検査 FEV1 %：60 % 以下
 ｄ 気管支肺胞洗浄（BAL）：リンパ球分画増加
 ｅ 経気管支肺生検病理組織：びまん性肺胞障害（DAD）"
46,"58 歳の男性。高脂血症のフォローアップのために来院している。既往歴に特記すべきことはなく、外資系企業の管理職として忙しく働いている。喫煙は 15 本/日 を 30 年続けている。飲酒は週末にビールを 350 mL 程度。身長 170 cm、体重 85 kg。BMI 29.4。血圧 130/82 mmHg、脈拍 76/分、整。総コレステロールや LDL コレステロールは基準値を上回り、数値に大きな改善はみられない。2 年前から医師は生活習慣の改善だけでは十分でないため薬物療法を提案しているが、患者は毎回「食事と運動を頑張るので、薬はまだ飲みたくない」と断っている。相談や通院をやめるつもりはないという。 この患者への声かけとして最も適切でないのはどれか。 
 ａ 「薬を飲むことに対して、不安に思う点はありますか」 
 ｂ 「いまの仕事の状況や生活パターンを教えていただけませんか」 
 ｃ 「続けやすい運動や食事プランを一緒に考えてみましょう」 
 ｄ 「薬に抵抗がある理由をもう一度うかがってもいいですか」 
 ｅ 「それなら数値が改善するまで検診に来なくても大丈夫ですよ」"
47,"58歳の男性。作業中に高所から転落し救急車で搬入された。
 
 現病歴 ： 足場から約3m下に落下し、左下腹部を強打。痛みのために動けない状態であった。目撃者が救急車を要請した。
 
 既往歴 ： 糖尿病、高血圧症。
 
 生活歴 ： 喫煙歴20本/日×30年。
 
 家族歴 ： 特記事項なし。
 
 現 症 ： 意識清明。身長170cm、体重65kg。体温36.8℃。心拍数110/分、整。血圧90/50 mmHg。呼吸数24/分。SpO2 94%(リザーバー付マスク10L/分 酸素投与下)。四肢は冷感を伴い湿潤。頸静脈怒張なし。心音と呼吸音に異常を認めない。腹部は圧痛と膨満がみられるが、腸雑音はやや減弱している。
 
 検査所見 ： 血液所見：赤血球 400万、Hb 9.8 g/dL、Ht 38%、白血球 11,200(好中球70%、好酸球2%、好塩基球1%、単球8%、リンパ球19%)、血小板 30万。血液生化学所見：総蛋白7.0 g/dL、アルブミン3.8 g/dL、総ビリルビン1.0 mg/dL、直接ビリルビン0.2 mg/dL、AST58 U/L、ALT32 U/L、LD196 U/L(基準124～222)、ALP60 U/L(基準38～113)、γ-GT28 U/L(基準13～64)、アミラーゼ110 U/L(基準44～132)、CK340 U/L(基準59～248)、尿素窒素24 mg/dL、クレアチニン0.8 mg/dL、尿酸6.0 mg/dL、血糖210 mg/dL、HbA1c6.2%(基準4.9～6.0)、Na140 mEq/L、K4.1 mEq/L、Cl98 mEq/L。
 
 頭部CTで異常は認めず、腹部造影CTにて脾臓の部分損傷と腹腔内出血兆候が示唆された。意識レベルを考慮し、気管挿管を行い、緊急手術を行うこととなった。
 
 術前の対応で誤っているのはどれか。
 
 ａ 輸血製剤をすぐに確保する。
 ｂ 体温管理を行い正常体温を維持する。
 ｃ 胃管を挿入し胃内容物を減圧する。
 ｄ 抗凝固薬の静注を追加する。
 ｅ 動脈ラインを確保して血圧をモニターする。"
48,59 歳の女性。高血圧症と 15 年前に診断された 2 型糖尿病の治療中である。最近、両眼の視力低下を自覚し、眼科受診で糖尿病網膜症が進行していると言われた。食事療法の継続はしているが、仕事の忙しさから運動不足が続いており、足のしびれを感じることが増えた。医師よりフットケアの指導と定期検査の受診を勧められている。インフルエンザの流行に備えて予防接種を受ける予定である。次のうち、この患者で三次予防とならないのはどれか。\n\n- a 定期的な眼科受診\n- b 食事療法\n- c フットケア指導\n- d 血圧コントロールの徹底\n- e インフルエンザワクチン接種
49,"6 か月の男児。最近、両腕を頭上へ伸ばしつつ頭部を前屈させるような動きが何度も繰り返されると母親が心配して来院した。在胎 39 週、出生体重 2,900 g で仮死なく出生した。生後 1 か月で追視・固視を認め、2 か月であやし笑いをし、3 か月で定頸に至り、4 か月頃には寝返りができるようになった。2 週間ほど前から、両上肢を突っ張らせて急に挙上し、頭部を前屈させる動きが 10 秒前後の間隔で連続するようになったのを母親が見つけ、同時期から表情が乏しくなり、寝返りや手を伸ばしておもちゃをつかむ動作が減少している。可能性が高いのはどれか。 
 
 a West 症候群 
 b 欠神てんかん 
 c Lennox-Gastaut 症候群 
 d 先天性筋強直性ジストロフィー 
 e 福山型先天性筋ジストロフィー"
50,"6 歳の男児。学校健診で初めて心雑音を指摘されたため来院した。以前から特に呼吸困難などの訴えはなく、運動制限も受けていない。既往歴と家族歴に特記すべきことはない。身体所見では胸骨左縁第 2 肋間を最強点とする Levine 2/6 の収縮期雑音と、第 2 音の固定性分裂を認める。心エコー検査の結果、直径 10 mm 程度の心房中隔欠損症が確認され、右心系の軽度拡大を伴うが肺高血圧症の所見はない。
 この母親への説明として適切なのはどれか。
 ａ 「遺伝的発症が大半です」
 ｂ 「運動は禁忌です」
 ｃ 「小児期に必ず不整脈が生じます」
 ｄ 「即刻手術を要します」
 ｅ 「成長に応じて欠損孔を閉鎖する必要があるかを検討します」"
51,"60 歳の女性。3 か月前から手指の強ばりと腫脹があり、ときどき手指が白くなることに気づいた。2 週間前から左後頭部を中心とする拍動性頭痛が出現し、しだいに強くなったため受診した。意識は清明。身長 160 cm、体重 50 kg。体温 36.7 ℃。脈拍 100/分、整。血圧 188/108 mmHg（1 か月前は 122/76 mmHg）。呼吸数 16/分。SpO2 97 %（room air）。手指から前腕にかけて皮膚が硬化しており、ピンチでつまみにくい。心音に異常を認めないが、両下腿に圧痕性浮腫を認める。神経学的所見に異常はない。尿所見：蛋白 1 ＋、潜血 1 ＋。血液所見：赤血球 412 万、Hb 11.5 g/dL、Ht 38 %、網赤血球 1.1 %、白血球 4,600（好中球 68 %、好酸球 2 %、好塩基球 1 %、単球 8 %、リンパ球 21 %）、血小板 16 万。血液生化学所見：総蛋白 7.3 g/dL、アルブミン 3.8 g/dL、総ビリルビン 1.0 mg/dL、AST 25 U/L、ALT 17 U/L、LD 200 U/L（基準 124～222）、γ-GT 34 U/L（基準 9～32）、CK 118 U/L（基準 41～153）、尿素窒素 38 mg/dL、クレアチニン 1.9 mg/dL（1 か月前は 0.8 mg/dL）、Na 138 mEq/L、K 4.7 mEq/L、Cl 98 mEq/L、血漿レニン活性 8.2 ng/mL（基準 1.2～2.5）。免疫血清学所見：CRP 0.4 mg/dL、抗核抗体 160 倍（基準 20 以下）、抗 RNA ポリメラーゼⅢ抗体陽性。腹部超音波検査で腎・尿路系に異常を認めない。 
 この患者に適切な治療薬はどれか。 
 ａ β 遮断薬 
 ｂ ループ利尿薬 
 ｃ グルココルチコイド 
 ｄ 抗コリンエステラーゼ薬 
 ｅ アンジオテンシン変換酵素〈ACE〉阻害薬"
52,"60 歳の女性。不眠を主訴に来院した。1 年前に大腸癌の手術を受け、6 か月前に肝転移を指摘された。2 か月前から右下腹部に痛みが生じ、立位や歩行時に増強するようになった。1 週間前からは夜間就寝時にも強い痛みを感じるようになり、痛みのため寝つきが悪い状態が続いている。まず痛み緩和の目標とすべき痛みはどれか。 
 ａ 立位時の痛み 
 ｂ 歩行時の痛み 
 ｃ 座位での持続痛 
 ｄ 就寝時の痛み 
 ｅ 右下腹部の触診時痛"
53,61歳の男性。右肩痛を主訴に来院した。2週間前より右肩に鈍い痛みを感じていたが、近医での症状改善が乏しいため当院を受診した。脈拍84/分、整。血圧128/76 mmHg。呼吸数16/分。SpO2 98 %（room air）。右眼瞼下垂を認める。頸静脈の怒張は認めない。心音に異常はなく、呼吸音は右肺尖部で減弱を認める。四肢筋力に明らかな異常はない。血液検査所見：血糖 92 mg/dL、HbA1c 5.1 %（基準4.9～6.0）、Na 139 mEq/L、K 3.9 mEq/L、Cl 103 mEq/L。腫瘍マーカー検査でSCC 6.8 ng/mL（基準1.5以下）。気管支鏡検査下生検にて扁平上皮癌と診断された。胸部エックス線写真および胸部造影CTで右肺尖部に腫瘤陰影を認める。 この患者で認めるのはどれか。 a Horner症候群 b 上大静脈症候群 c Cushing症候群 d Lambert-Eaton症候群 e ADH不適合分泌症候群
54,"62 歳の男性。悪寒を伴う 10 日間の高熱を主訴に来院した。2 年前に大動脈弁 置換術を施行されている。1 週間前から階段の昇降時に息切れを感じるようにな り、次第に労作時の胸部不快感も増強してきた。既往歴として高血圧があり、降 圧薬を内服中。アレルギー歴はない。意識は清明。体温 38.7 ℃、脈拍 112/分、 整。血圧 138/86 mmHg。呼吸数 24/分。SpO2 95 %（room air）。胸部聴診で Levine 3/6 程度の全収縮期雑音を心尖部にて聴取する。両手掌に複数の有痛性紅色皮疹を 認める。血液検査の結果は以下のとおりである。
 
 ・赤血球 450 万/μL、Hb 13.2 g/dL、Ht 40 %
 ・白血球 12,600/μL
 ・血小板 19 万/μL
 ・尿素窒素 24 mg/dL
 ・クレアチニン 1.2 mg/dL
 ・Na 136 mEq/L、K 4.1 mEq/L
 ・CRP 10 mg/dL
 
 胸部エックス線写真では心胸郭比 57 %、肺血管陰影の顕著な増強は認めない。心電 図は洞性頻脈。経胸壁心エコー図で大動脈弁付近に揺れる腫瘤状のエコーを認めた。 血液培養 3 セットから Staphylococcus aureus が検出された。
 
 薬剤感受性試験結果 が得られるまでの間、使用すべき抗菌薬として適切なのはどれか。
 
 ａ バンコマイシン
 ｂ ベンジルペニシリン
 ｃ クラリスロマイシン
 ｄ セフ トリアキソン
 ｅ クリンダマイシン"
55,"65 歳の女性。意識障害のため救急車で搬入された。
 
 現病歴 ： 2 か月前に娘を事故で失い、その後から抑うつ気分が続いていた。本日、自宅の居間で意識を失った状態で倒れているところを夫が発見し、救急車を要請した。発見時には傍に空の薬瓶と手紙らしきものがあった。
 
 既往歴 ： 糖尿病で経口血糖降下薬を内服している。
 
 生活歴 ： 夫との 2 人暮らし。趣味で家庭菜園をしている。
 
 家族歴 ： 特記すべきことはない。
 
 現 症 ： 意識レベルは JCS Ⅲ-100。身長 158 cm、体重 60 kg。体温 37.9 ℃。心拍数 110/分、整。血圧 100/64 mmHg。呼吸数 28/分。SpO2 88 %（リザーバ付マスク 10 L/分 酸素投与下）。瞳孔径は左右 2.5 mm。対光反射は遅延している。全身に冷や汗が著明であり、下肢に小刻みな振戦が認められる。
 
 搬入直後の治療を開始するにあたり、救急医から夫に質問する内容として最も重要なのはどれか。
 
 ａ 「普段よく飲むお茶の種類は何ですか」
 ｂ 「倒れていた時に傍にあった薬瓶は持ってきましたか」
 ｃ 「最近、ご家族の間で大きなトラブルはありましたか」
 ｄ 「糖尿病以外の治療中の病気はありますか」
 ｅ 「お酒の量はどれくらい飲んでいますか」"
56,"65 歳の女性。下痢を主訴に来院した。10 年前から上腹部痛を繰り返し、自宅近くの医療機関で慢性膵炎と診断されていたが、2 年前から通院を中断している。半年前から 1 日 5〜6 回の下痢が持続し、食事量が減少して体重が 8 kg 減少していた。飲酒は日本酒 3 合/日を 30 年間飲用していたが、3 年前からはほとんど飲んでいない。身長 160 cm、体重 40 kg。腹部の診察では特記すべき異常を認めない。血液所見：赤血球 395 万、Hb 11.8 g/dL、Ht 35%、白血球 5,200、血小板 20 万。血液生化学所見：総蛋白 6.5 g/dL、アルブミン 3.4 g/dL、総ビリルビン 0.7 mg/dL、AST 20 U/L、ALT 25 U/L、LD 210 U/L（基準 124～222）、ALP 48 U/L（基準 38～113）、アミラーゼ 35 U/L（基準 44～132）。腹部超音波検査では膵全体に細かい石灰化を認め、腫瘤性病変は認めない。 この患者にもっともみられやすいのはどれか。\n\na 黒色便\nb 脂肪便\nc 粘血便\nd 灰白色便\ne 兎糞状便"
57,"65 歳の男性。意識障害のため家族に連れられて救急外来を受診した。
 
 現病歴：2 日前まで普段通り生活していたが、本日昼過ぎに呼吸が浅くなり、胃
 のあたりがむかむかすると訴えた直後に、自宅のリビングで意識を失った状態で
 発見された。家族が周囲を調べたところ、本人の私物などに特に異常はなかった
 が、いくつかの薬を内服中であることが確認された。
 
 既往歴：軽度の慢性腰痛で鎮痛薬を時々服用している。高血圧で内服治療中。
 
 生活歴：妻と 2 人暮らし。農作物の運搬など軽作業程度は行っている。
 
 現 症：意識レベルは JCSⅢ-200。身長 170 cm、体重 70 kg。体温 36.4 ℃。心拍数
 60/分、整。血圧 105/70 mmHg。呼吸数 8/分。SpO2 88 %（リザーバ付マスク
 10 L/分 酸素投与下）。瞳孔径は左右 1.5 mm。対光反射は低下している。皮膚は
 蒼白で乾燥しており、腹部所見で腸雑音は減弱している。
 
 検査所見：尿所見：淡黄色透明、蛋白（－）、糖（－）、潜血（－）。血液所見：
 赤血球 480 万、Hb 14.5 g/dL、Ht 44 %、白血球 6,500、血小板 28 万。血液生化学
 所見：総蛋白 7.0 g/dL、アルブミン 4.0 g/dL、総ビリルビン 0.8 mg/dL、直接ビリル
 ビン 0.3 mg/dL、AST 20 U/L、ALT 18 U/L、LD 180 U/L（基準 124～222）、
 ALP 95 U/L（基準 38～113）、コリンエステラーゼ〈ChE〉250 U/L（基準 240～486）、
 尿素窒素 14 mg/dL、クレアチニン 0.7 mg/dL、血糖 100 mg/dL、Na 138 mEq/L、
 K 3.9 mEq/L、Cl 100 mEq/L。CRP 0.5 mg/dL。心電図は洞性徐脈で明らかな異常
 所見は認めない。頭部 CT では特記すべき異常を認めない。
 
 この患者のトキシドロームで最も考えられるのはどれか。
 
 ａ コリン作動性
 ｂ 交感神経興奮性
 ｃ 鎮静睡眠作用性
 ｄ オピオイド作動性
 ｅ ヒスタミン作用性"
58,"65歳の女性。2週間前から続く全身倦怠感を主訴に来院した。眼瞼結膜には軽度の蒼白を認め、黄疸はみられない。腹部は平坦でやわらかく、肝・脾は触知しない。下腿に数カ所の点状出血を認める。血液所見では、赤血球数 210万、Hb 6.0 g/dL、Ht 18%、網赤血球 0.8%、白血球数 2,500（分葉核好中球 25%、リンパ球 70%、単球 5%）、血小板数 3.1万。血液生化学所見では、総ビリルビン 0.7 mg/dL、AST 25 U/L、ALT 22 U/L、LD 160 U/L（基準 124～222）、尿素窒素 10 mg/dL、クレアチニン 0.6 mg/dL。末梢血塗抹標本で赤血球形態の異常はなく、骨髄生検では著明な低形成所見が得られた。治療として適切でないのはどれか。
 ａ 赤血球輸血
 ｂ 血漿交換
 ｃ 抗胸腺細胞グロブリン〈ATG〉投与
 ｄ トロンボポエチン受容体作動薬投与
 ｅ 顆粒球コロニー刺激因子〈G-CSF〉投与"
59,"65歳の女性。全身の筋肉痛と関節痛を主訴に来院した。症状は3年前から徐々に始まり、最近になって特に肩甲帯や腰背部の痛みが増強している。2か月前に息子が海外へ転勤し、1人暮らしとなってから睡眠障害も出現したという。体重の増減は特にない。体温 36.4℃、脈拍 72/分、血圧 118/68 mmHg。
 
 手指や肩、股関節周辺に腫脹は認めないが、触診時に非常に痛みを訴える部位が多数みられる。四肢や体幹の筋力は正常範囲内で、関節可動域にも明らかな制限を認めない。尿所見に異常はなく、赤沈 10 mm/1時間。
 
 血液所見：赤血球 420万、Hb 12.5 g/dL、Ht 38%、白血球 5,000、血小板 22万。
 血液生化学所見：総蛋白 7.2 g/dL、AST 20 U/L、ALT 15 U/L、LD 150 U/L（基準 124～222）、尿素窒素 11 mg/dL、クレアチニン 0.5 mg/dL、CK 55 U/L（基準 41～153）、TSH 3.0 μU/mL（基準 0.2～4.0）、コルチゾール 10.8 μg/dL（基準 5.2～12.6）。
 免疫血清学所見：CRP 0.2 mg/dL、リウマトイド因子（RF）陰性、抗核抗体陰性。
 
 この患者の全身痛の原因として最も可能性が高いのはどれか。
 ａ 変形性関節症
 ｂ 線維筋痛症
 ｃ リウマチ性多発筋痛症
 ｄ 関節リウマチ
 ｅ 自己免疫性甲状腺炎"
60,"68 歳の女性。意識障害と強い呼吸困難のため救急車で搬入された。
 現病歴：2 か月前に夫を亡くした後、食欲不振や不眠が続いていた。昨日から「生きているのが辛い」と訴えていたが、本日夕方に自宅で意識を失った状態で倒れているところを娘が発見し、救急車で搬送された。救急隊到着時に数分間のけいれん発作を認めた。居室には多数の市販睡眠薬の空錠剤と「遺書のようなメモ」が残されていた。
 既往歴：高血圧症で降圧薬を内服中。
 生活歴：娘との二人暮らしで、普段から自宅周囲の畑仕事をしている。
 家族歴：特記すべきことなし。
 現 症：意識レベルは JCS Ⅲ-100。身長 158 cm、体重 60 kg。体温 37.8 ℃。心拍数 120/分、整。血圧 100/60 mmHg。呼吸数 30/分。SpO2 85 %（リザーバ付マスク10 L/分酸素投与下）。瞳孔径は左右とも 2.5 mm。対光反射はやや低下している。口周囲に吐物の付着があり、全身に著明な発汗を認める。四肢には軽度のけいれん様運動が持続している。
 
 70 まず行う処置はどれか。
 ａ 胃管挿入
 ｂ 気管挿管
 ｃ 大量輸液
 ｄ 抗けいれん薬投与
 ｅ 中心静脈カテーテル留置"
61,"69 歳の女性。特定健康診査で蛋白尿を指摘され来院した。1 年前から両下腿の軽度浮腫に気付いていたが、日常生活に支障はなく放置していた。食欲は変わりないが、夕方に倦怠感を感じやすくなっている。血圧は 135/75 mmHg、体重はこの数か月で 1～2 kg 程度増加がみられる。尿所見：比重 1.010、pH 6.0、蛋白 3＋、糖（－）、潜血（＋）、随時尿の尿蛋白/クレアチニン比は 2.2 g/gCr（基準 0.15 未満）。尿沈渣では赤血球 5～9 /HPF、白血球 1～4 /HPF、顆粒円柱を多数認める。血液生化学所見：クレアチニン 0.9 mg/dL、eGFR 60.0 mL/分/1.73 m2、総蛋白 6.5 g/dL、アルブミン 3.2 g/dL。腹部超音波検査では腎臓の形態に著変は認めない。最も考えられるのはどれか。
 ａ IgA 腎症
 ｂ 膜性腎症
 ｃ 多発性囊胞腎
 ｄ 微小変化型ネフローゼ症候群
 ｅ 特発性半月体形成性糸球体腎炎"
